planta,flora nome,flora status,plant nome,plant status,comparacao
Enydra anagallis,none,none,none,none,igual
Enydra radicans,none,none,none,none,igual
Enydra sessilis,none,none,none,none,igual
Enydra virularis,none,none,none,none,igual
Erechtites hieracifolia,none,none,none,none,igual
Erechtites hieracifolius,none,none,none,none,igual
Erechtites valerianifolius,none,none,none,none,igual
Erigeron maximus,none,none,none,none,igual
Eupatorium bupleurifolium,none,none,none,none,igual
Eupatorium candolleanum,none,none,none,none,igual
Eupatorium subhastatum,none,none,none,none,igual
Eupatorium tremulum,none,none,none,none,igual
Eupatorium tweedianum,none,none,none,none,igual
Gamochaeta americana,none,none,none,none,igual
Gnaphalium spicatum,none,none,none,none,igual
Grazielia intermedia,none,none,none,none,igual
Gymnocoronis spilanthoides,none,none,none,none,igual
Jaegeria hirta,none,none,none,none,igual
Jungia floribunda,none,none,none,none,igual
Lepidaploa chalybaea,none,none,none,none,igual
Lessingianthus glabratus,none,none,none,none,igual
Mikania congesta,none,none,none,none,igual
Mikania cordifolia,none,none,none,none,igual
Mikania micrantha,none,none,none,none,igual
Mikania periplocifolia,none,none,none,none,igual
Pacourina edulis,none,none,none,none,igual
Picrosia longifolia,none,none,none,none,igual
Pluchea sagittalis,none,none,none,none,igual
Praxelis sanctopaulensis,none,none,none,none,igual
Pterocaulon balansae,none,none,none,none,igual
Richterago radiata,none,none,none,none,igual
Rolandra fruticosa,none,none,none,none,igual
Senecio bonariensis,none,none,none,none,igual
Senecio erisithalifolius,none,none,none,none,igual
Senecio icoglossus,none,none,none,none,igual
Senecio mattfeldianus,none,none,none,none,igual
Senecio tweediei,none,none,none,none,igual
Sonchus oleraceus,none,none,none,none,igual
Sphagneticola trilobata,none,none,none,none,igual
Synedrella nodiflora,none,none,none,none,igual
Tilesia baccata,none,none,none,none,igual
Trichospira verticillata,none,none,none,none,igual
Vernonanthura beyrichii,none,none,none,none,igual
Vernonanthura brasiliana,none,none,none,none,igual
Vernonia scorpioides,none,none,none,none,igual
Wedelia alagoensis,none,none,none,none,igual
Wedelia calycina,none,none,none,none,igual
Impatiens wallerana,none,none,none,none,igual
Begonia cucullata,none,none,none,none,igual
Begonia fischeri,none,none,none,none,igual
Begonia hirtella,none,none,none,none,igual
Begonia reniformis,none,none,none,none,igual
Pleonotoma clematis,none,none,none,none,igual
Tanaecium pyramidatum,none,none,none,none,igual
Tynanthus polyanthus,none,none,none,none,igual
Cordia curassavica,none,none,none,none,igual
Cordia multispicata,none,none,none,none,igual
Cordia superba,none,none,none,none,igual
Cordia tetrandra,none,none,none,none,igual
Euploca procumbens,none,none,none,none,igual
Heliotropium angiospermum,none,none,none,none,igual
Heliotropium elongatum,none,none,none,none,igual
Heliotropium indicum,none,none,none,none,igual
Heliotropium procumbens,none,none,none,none,igual
Tournefortia bicolor,none,none,none,none,igual
Cardamine bonariensis,none,none,none,none,igual
Nasturtium officinale,none,none,none,none,igual
Burmannia australis,none,none,none,none,igual
Burmannia capitata,none,none,none,none,igual
Burmannia flava,none,none,none,none,igual
Cabomba aquatica,none,none,none,none,igual
Cabomba caroliniana,none,none,none,none,igual
Cabomba furcata,none,none,none,none,igual
Cabomba haynesii,none,none,none,none,igual
Centropogon cornutus,none,none,none,none,igual
Lobelia anceps,none,none,none,none,igual
Lobelia aquatica,none,none,none,none,igual
Lobelia camporum,none,none,none,none,igual
Lobelia exaltata,none,none,none,none,igual
Lobelia fistulosa,none,none,none,none,igual
Lobelia nummularioides,none,none,none,none,igual
Lobelia xalapensis,none,none,none,none,igual
Pratia hederacea,none,none,none,none,igual
Siphocampylus sulfereus,none,none,none,none,igual
Canna indica,none,none,none,none,igual
Canna glauca,none,none,none,none,igual
Canna xgeneralis,none,none,none,none,igual
Aneilema umbrosum,none,none,none,none,igual
Callisia filiformis,none,none,none,none,igual
Commelina diffusa,none,none,none,none,igual
Commelina erecta,none,none,none,none,igual
Commelina nudiflora,none,none,none,none,igual
Commelina obliqua,none,none,none,none,igual
Commelina schomburgkiana,none,none,none,none,igual
Dichorisandra hexandra,none,none,none,none,igual
Floscopa glabrata,none,none,none,none,igual
Tripogandra diuretica,none,none,none,none,igual
Anisea cernua,none,none,none,none,igual
Aniseia martinicensi,none,none,none,none,igual
Cressa truxillensis,none,none,none,none,igual
Evolvulus filipes,none,none,none,none,igual
Evolvulus nummularius,none,none,none,none,igual
Evolvulus pohlli,none,none,none,none,igual
Ipomoea alba,none,none,none,none,igual
Ipomoea aquatica,none,none,none,none,igual
Ipomoea asaralifolia,none,none,none,none,igual
Ipomoea asarifolia,none,none,none,none,igual
Ipomoea batatas,none,none,none,none,igual
Ipomoea cairica,none,none,none,none,igual
Ipomoea carnea,none,none,none,none,igual
Ipomoea cynanchifolia,none,none,none,none,igual
Ipomoea fimbriosepala,none,none,none,none,igual
Ipomoea fistulosa,none,none,none,none,igual
Ipomoea indivisa,none,none,none,none,igual
Ipomoea philomega,none,none,none,none,igual
Ipomoea quamoclit,none,none,none,none,igual
Ipomoea setifera,none,none,none,none,igual
Ipomoea setosa,none,none,none,none,igual
Ipomoea serpens,none,none,none,none,igual
Ipomoea squamosa,none,none,none,none,igual
Ipomoea subrevoluta,none,none,none,none,igual
Ipomoea wrightii,none,none,none,none,igual
Iseia luxurians,none,none,none,none,igual
Jacquemontia heterantha,none,none,none,none,igual
Merremia aegyptia,none,none,none,none,igual
Merremia umbellata,none,none,none,none,igual
Operculina hamiltonii,none,none,none,none,igual
Tetralocularia pennellii,none,none,none,none,igual
Costus arabicus,none,none,none,none,igual
Costus spirales,none,none,none,none,igual
Crassula peduncularis,none,none,none,none,igual
Cyclanthera hystrix,none,none,none,none,igual
Elaterium amazonicum,none,none,none,none,igual
Fevillea trilobata,none,none,none,none,igual
Gurania bignoniacea,none,none,none,none,igual
Gurania tricuspidata,none,none,none,none,igual
Luffa operculata,none,none,none,none,igual
Momordica charantia,none,none,none,none,igual
Halodule emarginata,none,none,none,none,igual
Halodule wrightii,none,none,none,none,igual
Abildgaardia ovata,none,none,none,none,igual
Becquerelia cymosa,none,none,none,none,igual
Becquerelia muricata,none,none,none,none,igual
Bulbostylis capillaris,none,none,none,none,igual
Bulbostylis hirtella,none,none,none,none,igual
Bulbostylis junciformis,none,none,none,none,igual
Bulbostylis juncoides,none,none,none,none,igual
Bulbostylis sellowiana,none,none,none,none,igual
Bulbostylis truncata,none,none,none,none,igual
Calyptrocarya longifolia,none,none,none,none,igual
Carex brasiliensis,none,none,none,none,igual
Carex pseudocyperus,none,none,none,none,igual
Cladium jamaicense,none,none,none,none,igual
Cyperus aggregatus,none,none,none,none,igual
Cyperus amabilis,none,none,none,none,igual
Cyperus articulatus,none,none,none,none,igual
Cyperus aristatus,none,none,none,none,igual
Cyperus barrosianus,none,none,none,none,igual
Cyperus berroi,none,none,none,none,igual
Cyperus brevifolius,none,none,none,none,igual
Cyperus cayennensis,none,none,none,none,igual
Cyperus celluloso-reticulatus,none,none,none,none,igual
Cyperus chalaranthus,none,none,none,none,igual
Cyperus compressus,none,none,none,none,igual
Cyperus cornelii-ostenii,none,none,none,none,igual
Cyperus corymbosus,none,none,none,none,igual
Cyperus cuspidatus,none,none,none,none,igual
Cyperus diffusus,none,none,none,none,igual
Cyperus digitatus,none,none,none,none,igual
Cyperus distans,none,none,none,none,igual
Cyperus eragrostis,none,none,none,none,igual
Cyperus esculentus,none,none,none,none,igual
Cyperus fistulosus,none,none,none,none,igual
Cyperus gardneri,none,none,none,none,igual
Cyperus giganteus,none,none,none,none,igual
Cyperus haspan,none,none,none,none,igual
Cyperus hermaphroditus,none,none,none,none,igual
Cyperus imbricatus,none,none,none,none,igual
Cyperus intricatus,none,none,none,none,igual
Cyperus involucratus,none,none,none,none,igual
Cyperus iria,none,none,none,none,igual
Cyperus laetus,none,none,none,none,igual
Cyperus lanceolatus,none,none,none,none,igual
Cyperus laxus,none,none,none,none,igual
Cyperus ligularis,none,none,none,none,igual
Cyperus luzulae,none,none,none,none,igual
Cyperus megapotamicus,none,none,none,none,igual
Cyperus mundtii,none,none,none,none,igual
Cyperus obtusatus,none,none,none,none,igual
Cyperus odoratus,none,none,none,none,igual
Cyperus papyrus,none,none,none,none,igual
Cyperus polystachyus,none,none,none,none,igual
Cyperus prolixus,none,none,none,none,igual
Cyperus reflexus,none,none,none,none,igual
Cyperus rigens,none,none,none,none,igual
Cyperus rotundus,none,none,none,none,igual
Cyperus sesquiflorus,none,none,none,none,igual
Cyperus surinamensis,none,none,none,none,igual
Cyperus uncinulatus,none,none,none,none,igual
Cyperus virens,none,none,none,none,igual
Dialium guianense,none,none,none,none,igual
Diplacrum longifolium,none,none,none,none,igual
Eleocharis acutangula,none,none,none,none,igual
Eleocharis atropurpurea,none,none,none,none,igual
Eleocharis barrosii,none,none,none,none,igual
Eleocharis bonariensis,none,none,none,none,igual
Eleocharis capillacea,none,none,none,none,igual
Eleocharis debilis,none,none,none,none,igual
Eleocharis elata,none,none,none,none,igual
Eleocharis elegans,none,none,none,none,igual
Eleocharis elongata,none,none,none,none,igual
Eleocharis equisetoides,none,none,none,none,igual
Eleocharis filiculmis,none,none,none,none,igual
Eleocharis fistulosa,none,none,none,none,igual
Eleocharis flavescens,none,none,none,none,igual
Eleocharis geniculata,none,none,none,none,igual
Eleocharis interstincta,none,none,none,none,igual
Eleocharis maculosa,none,none,none,none,igual
Eleocharis minarum,none,none,none,none,igual
Eleocharis minima,none,none,none,none,igual
Eleocharis montana,none,none,none,none,igual
Eleocharis mutata,none,none,none,none,igual
Eleocharis nana,none,none,none,none,igual
Eleocharis nodulosa,none,none,none,none,igual
Eleocharis nudipes,none,none,none,none,igual
Eleocharis radicans,none,none,none,none,igual
Eleocharis retroflexa,none,none,none,none,igual
Eleocharis sellowiana,none,none,none,none,igual
Eleocharis subarticulata,none,none,none,none,igual
Eleocharis umbellata,none,none,none,none,igual
Fimbristylis aestivalis,none,none,none,none,igual
Fimbristylis autumnalis,none,none,none,none,igual
Fimbristylis complanata,none,none,none,none,igual
Fimbristylis cymosa,none,none,none,none,igual
Fimbristylis dichotoma,none,none,none,none,igual
Fimbristylis diphylla,none,none,none,none,igual
Fimbristylis miliacea,none,none,none,none,igual
Fimbristylis spadicea,none,none,none,none,igual
Fimbristylis squarrosa,none,none,none,none,igual
Fuirena incompleta,none,none,none,none,igual
Fuirena robusta,none,none,none,none,igual
Fuirena umbellata,none,none,none,none,igual
Hyparrhenia rufa,none,none,none,none,igual
Kyllinga odorata,none,none,none,none,igual
Kyllinga pumila,none,none,none,none,igual
Lipocarpha humboldtiana,none,none,none,none,igual
Lipocarpha micrantha,none,none,none,none,igual
Lipocarpha salzmanniana,none,none,none,none,igual
Lipocarpha sellowiana,none,none,none,none,igual
Oxycaryum cubense,none,none,none,none,igual
Pycreus flavescens,none,none,none,none,igual
Pycreus macrostachyos,none,none,none,none,igual
Pycreus polystachyos,none,none,none,none,igual
Rhynchospora barbata,none,none,none,none,igual
Rhynchospora brittonii,none,none,none,none,igual
Rhynchospora cephalotes,none,none,none,none,igual
Rhynchospora contracta,none,none,none,none,igual
Rhynchospora corymbosa,none,none,none,none,igual
Rhynchospora cyperoides,none,none,none,none,igual
Rhynchospora gigantea,none,none,none,none,igual
Rhynchospora holoschoenoides,none,none,none,none,igual
Rhynchospora marisculus,none,none,none,none,igual
Rhynchospora nervosa,none,none,none,none,igual
Rhynchospora pubera,none,none,none,none,igual
Rhynchospora riparia,none,none,none,none,igual
Rhynchospora schomburgkiana,none,none,none,none,igual
Rhynchospora subplumosa,none,none,none,none,igual
Rhynchospora tenerrima,none,none,none,none,igual
Rhynchospora tenuis,none,none,none,none,igual
Rhynchospora trispicata,none,none,none,none,igual
Rhynchospora velutina,none,none,none,none,igual
Schoenoplectus californicus,none,none,none,none,igual
Scirpus americanus,none,none,none,none,igual
Scirpus californicus,none,none,none,none,igual
Scirpus cubensis,none,none,none,none,igual
Scirpus giganteus,none,none,none,none,igual
Scirpus maritimus,none,none,none,none,igual
Scirpus submersus,none,none,none,none,igual
Scleria bracteata,none,none,none,none,igual
Scleria distans,none,none,none,none,igual
Scleria hirtella,none,none,none,none,igual
Scleria melaleuca,none,none,none,none,igual
Scleria microcarpa,none,none,none,none,igual
Scleria mitis,none,none,none,none,igual
Scleria pterota,none,none,none,none,igual
Scleria secans,none,none,none,none,igual
Scleria soronia,none,none,none,none,igual
Websteria confervoides,none,none,none,none,igual
Dioscorea marginata,none,none,none,none,igual
Drosera communis,none,none,none,none,igual
Drosera intermedia,none,none,none,none,igual
Elatine lindbergii,none,none,none,none,igual
Equisetum giganteum,none,none,none,none,igual
Equisetum hyemale,none,none,none,none,igual
Agarista chlorantha,none,none,none,none,igual
Gaylussacia brasiliensis,none,none,none,none,igual
Eriocaulon angustifolium,none,none,none,none,igual
Eriocaulon aquatile,none,none,none,none,igual
Eriocaulon humboldtii,none,none,none,none,igual
Eriocaulon magnificum,none,none,none,none,igual
Eriocaulon modestum,none,none,none,none,igual
Eriocaulon obtusum,none,none,none,none,igual
Eriocaulon setaceum,none,none,none,none,igual
Leiothrix pilulifera,none,none,none,none,igual
Leiothrix rufula,none,none,none,none,igual
Paepalanthus bifidus,none,none,none,none,igual
Paepalanthus lamarckii,none,none,none,none,igual
Paepalanthus planifolius,none,none,none,none,igual
Paepalanthus tortilis,none,none,none,none,igual
Syngonanthus anomalus,none,none,none,none,igual
Syngonanthus caulescens,none,none,none,none,igual
Syngonanthus chrysanthus,none,none,none,none,igual
Syngonanthus glandulosus,none,none,none,none,igual
Syngonanthus gracilis,none,none,none,none,igual
Syngonanthus oblongus,none,none,none,none,igual
Syngonanthus xeranthemoides,none,none,none,none,igual
Tonina fluviatilis,none,none,none,none,igual
Acalypha arvensis,none,none,none,none,igual
Acalypha poiretii,none,none,none,none,igual
Argythamnia heteropetala,none,none,none,none,igual
Astraea lobata,none,none,none,none,igual
Caperonia castaneifolia,none,none,none,none,igual
Caperonia histrix,none,none,none,none,igual
Caperonia palustris,none,none,none,none,igual
Croton trinitatis,none,none,none,none,igual
Dalechampia scandens,none,none,none,none,igual
Dalechampia tiliifolia,none,none,none,none,igual
Euphorbia hirta,none,none,none,none,igual
Euphorbia hyssopifolia,none,none,none,none,igual
Euphorbia prostrata,none,none,none,none,igual
Euphorbia thymifolia,none,none,none,none,igual
Sapium glandulatum,none,none,none,none,igual
Sesbania schottiana,none,none,none,none,igual
Tonina fluviatilis,none,none,none,none,igual
Adesmia latifolia,none,none,none,none,igual
Aeschynomene americana,none,none,none,none,igual
Aeschynomene ciliata,none,none,none,none,igual
Aeschynomene denticulata,none,none,none,none,igual
Aeschynomene evenia,none,none,none,none,igual
Aeschynomene filosa,none,none,none,none,igual
Aeschynomene fluminensis,none,none,none,none,igual
Aeschynomene indica,none,none,none,none,igual
Aeschynomene mollicula,none,none,none,none,igual
Aeschynomene montevidensis,none,none,none,none,igual
Aeschynomene paniculata,none,none,none,none,igual
Aeschynomene rudis,none,none,none,none,igual
Aeschynomene scabra,none,none,none,none,igual
Aeschynomene sensitiva,none,none,none,none,igual
Aeschynomene virginica,none,none,none,none,igual
Anadenanthera colubrina,none,none,none,none,igual
Calopogonium mucunoides,none,none,none,none,igual
Centrosema brasilianum,none,none,none,none,igual
Centrosema pubescens,none,none,none,none,igual
Chamaecrista calycioides,none,none,none,none,igual
Chamaecrista diphylla,none,none,none,none,igual
Chamaecrista hispidula,none,none,none,none,igual
Chamaecrista nictitans,none,none,none,none,igual
Chamaecrista repens,none,none,none,none,igual
Clitoria falcata,none,none,none,none,igual
Clitoria guianensis,none,none,none,none,igual
Clitoria laurifolia,none,none,none,none,igual
Collaea speciosa,none,none,none,none,igual
Crotalaria brevifolia,none,none,none,none,igual
Crotalaria micans,none,none,none,none,igual
Crotalaria nitens,none,none,none,none,igual
Crotalaria pallida,none,none,none,none,igual
Crotalaria pilosa,none,none,none,none,igual
Crotalaria sagittalis,none,none,none,none,igual
Cymbosema roseum,none,none,none,none,igual
Dalbergia ecastophyllum,none,none,none,none,igual
Desmodium adscendens,none,none,none,none,igual
Desmodium barbatum,none,none,none,none,igual
Desmodium incanum,none,none,none,none,igual
Desmodium tortuosum,none,none,none,none,igual
Dioclea grandiflora,none,none,none,none,igual
Dioclea guianensis,none,none,none,none,igual
Discolobium leptophyllum,none,none,none,none,igual
Discolobium psoraliaefolium,none,none,none,none,igual
Discolobium pulchellum,none,none,none,none,igual
Eriosema simplicifolium,none,none,none,none,igual
Erythrina crista-galli,none,none,none,none,igual
Indigofera hirsuta,none,none,none,none,igual
Indigofera lespedezioides,none,none,none,none,igual
Indigofera sabulicola,none,none,none,none,igual
Inga affinis,none,none,none,none,igual
Inga marginata,none,none,none,none,igual
Inga sessilis,none,none,none,none,igual
Inga uruguensis,none,none,none,none,igual
Lonchocarpus sericeus,none,none,none,none,igual
Macrolobium multijugum,none,none,none,none,igual
Macroptilium gracile,none,none,none,none,igual
Macroptilium lathyroides,none,none,none,none,igual
Mimosa bimucronata,none,none,none,none,igual
Mimosa debilis,none,none,none,none,igual
Mimosa dormiens,none,none,none,none,igual
Mimosa invisa,none,none,none,none,igual
Mimosa pellita,none,none,none,none,igual
Mimosa pigra,none,none,none,none,igual
Mimosa pudica,none,none,none,none,igual
Mimosa setosa,none,none,none,none,igual
Neptunia oleracea,none,none,none,none,igual
Neptunia plena,none,none,none,none,igual
Neptunia prostrata,none,none,none,none,igual
Rhynchosia minima,none,none,none,none,igual
Senna corymbosa,none,none,none,none,igual
Senna obtusifolia,none,none,none,none,igual
Senna occidentalis,none,none,none,none,igual
Senna reticulata,none,none,none,none,igual
Senna uniflora,none,none,none,none,igual
Sesbania exasperata,none,none,none,none,igual
Sesbania punicea,none,none,none,none,igual
Stylosanthes angustifolia,none,none,none,none,igual
Stylosanthes gracilis,none,none,none,none,igual
Stylosanthes guianensis,none,none,none,none,igual
Stylosanthes scabra,none,none,none,none,igual
Stylosanthes viscosa,none,none,none,none,igual
Tephrosia purpurea,none,none,none,none,igual
Teramnus volubilis,none,none,none,none,igual
Vachellia farnesiana,none,none,none,none,igual
Vigna juruana,none,none,none,none,igual
Vigna lasiocarpa,none,none,none,none,igual
Vigna longifolia,none,none,none,none,igual
Vigna luteola,none,none,none,none,igual
Zornia guanipensis,none,none,none,none,igual
Zornia latifolia,none,none,none,none,igual
Coutoubea ramosa,none,none,none,none,igual
Coutoubea spicata,none,none,none,none,igual
Curtia tenuifolia,none,none,none,none,igual
Irlbachia alata,none,none,none,none,igual
Irlbachia purpurascens,none,none,none,none,igual
Schultesia benthamiana,none,none,none,none,igual
Schultesia brachyptera,none,none,none,none,igual
Schultesia gracilis,none,none,none,none,igual
Schultesia guianensis,none,none,none,none,igual
Schultesia optera,none,none,none,none,igual
Drymonia coccinea,none,none,none,none,igual
Sinningia elatior,none,none,none,none,igual
Schiekia orinocensis,none,none,none,none,igual
Laurembergia tetrandra,none,none,none,none,igual
Myriophyllum aquaticum,none,none,none,none,igual
Myriophyllum elatinoides,none,none,none,none,igual
Proserpinaca palustris,none,none,none,none,igual
Heliconia marginata,none,none,none,none,igual
Heliconia psittacorum,none,none,none,none,igual
Apalanthe granatensis,none,none,none,none,igual
Egeria densa,none,none,none,none,igual
Egeria najas,none,none,none,none,igual
Elodea canadensis,none,none,none,none,igual
Halophila decipiens,none,none,none,none,igual
Hydrilla verticillata,none,none,none,none,igual
Limnobium laevigatum,none,none,none,none,igual
Najas argurta,none,none,none,none,igual
Najas conferta,none,none,none,none,igual
Najas guadalupensis,none,none,none,none,igual
Najas marina,none,none,none,none,igual
Najas microcarpa,none,none,none,none,igual
Najas microdon,none,none,none,none,igual
Ottelia brasiliensis,none,none,none,none,igual
Hydrolea elatior,none,none,none,none,igual
Hydrolea spinosa,none,none,none,none,igual
Hypericum brasiliense,none,none,none,none,igual
Hypericum mutilum,none,none,none,none,igual
Vismia cayennensis,none,none,none,none,igual
Curculigo scorzonerifolia,none,none,none,none,igual
Hypoxis decumbens,none,none,none,none,igual
Cipura paludosa,none,none,none,none,igual
Sisyrinchium micranthum,none,none,none,none,igual
Sisyrinchium vaginatum,none,none,none,none,igual
Isoetes brasiliensis,none,none,none,none,igual
Isoetes ekmanii,none,none,none,none,igual
Juncus acutus,none,none,none,none,igual
Juncus bufonius,none,none,none,none,igual
Juncus capillaceus,none,none,none,none,igual
Juncus densiflorus,none,none,none,none,igual
Juncus dichotomus,none,none,none,none,igual
Juncus dombeyanus,none,none,none,none,igual
Juncus effusus,none,none,none,none,igual
Juncus marginatus,none,none,none,none,igual
